COUNTRY_CODE,COUNTRY_NAME,CONFIRMED,DEATHS,RECOVERED,ACTIVE,REGION_NAME,REGION_CODE,REPORT_ID,REPORT_DATE,PROV_ID,PROV_NAME,DATA_ID
106,Malaysia,8904,124,8601,179,Western Pacific,4,106,2020-06-24,2,WHO,106
107,Maldives,3369,15,2547,807,South-East Asia,6,107,2020-06-25,2,WHO,107
108,Mali,2513,124,1913,476,Africa,3,108,2020-06-26,2,WHO,108
109,Malta,701,9,665,27,Europe,2,109,2020-06-27,2,WHO,109
110,Mauritania,6208,156,4653,1399,Africa,3,110,2020-06-28,2,WHO,110
111,Mauritius,344,10,332,2,Africa,3,111,2020-06-29,2,WHO,111
112,Mexico,395489,44022,303810,47657,Americas,1,112,2020-06-30,2,WHO,112
113,Moldova,23154,748,16154,6252,Europe,2,113,2020-07-01,2,WHO,113
114,Monaco,116,4,104,8,Europe,2,114,2020-07-02,2,WHO,114
115,Mongolia,289,0,222,67,Western Pacific,4,115,2020-07-03,2,WHO,115
116,Montenegro,2893,45,809,2039,Europe,2,116,2020-07-04,2,WHO,116
117,Morocco,20887,316,16553,4018,Eastern Mediterranean,5,117,2020-07-05,2,WHO,117
118,Mozambique,1701,11,0,1690,Africa,3,118,2020-07-06,2,WHO,118
119,Namibia,1843,8,101,1734,Africa,3,119,2020-07-07,2,WHO,119
120,Nepal,18752,48,13754,4950,South-East Asia,,120,2020-07-08,2,WHO,120
121,Netherlands,53413,6160,189,47064,Europe,2,121,2020-07-09,2,WHO,121
122,New Zealand,1557,22,1514,21,Western Pacific,4,122,2020-07-10,2,WHO,122
123,Nicaragua,3439,108,2492,839,Americas,1,123,2020-07-11,2,WHO,123
124,Niger,1132,69,1027,36,Africa,3,124,2020-07-12,2,WHO,124
125,Nigeria,41180,860,18203,22117,Africa,3,125,2020-07-13,2,WHO,125
126,North Macedonia,10213,466,5564,4183,Europe,2,126,2020-07-14,2,WHO,126
127,Norway,9132,255,8752,125,Europe,2,127,2020-07-15,2,WHO,127
128,Oman,77058,393,57028,19637,Eastern Mediterranean,5,128,2020-07-16,2,WHO,128
129,Pakistan,274289,5842,241026,27421,Eastern Mediterranean,5,129,2020-07-17,2,WHO,129
130,Panama,61442,1322,35086,25034,Americas,1,130,2020-07-18,2,WHO,130
131,Papua New Guinea,62,0,11,51,Western Pacific,4,131,2020-07-19,2,WHO,131
132,Paraguay,4548,43,2905,1600,Americas,1,132,2020-07-20,2,WHO,132
133,Peru,389717,18418,272547,98752,Americas,1,133,2020-07-21,2,WHO,133
134,Philippines,82040,1945,26446,53649,Western Pacific,4,134,2020-07-22,2,WHO,134
135,Poland,43402,1676,32856,8870,Europe,2,135,2020-07-23,2,WHO,135
136,Portugal,50299,1719,35375,13205,Europe,2,136,2020-07-24,2,WHO,136
137,Qatar,109597,165,106328,3104,Eastern Mediterranean,5,137,2020-07-25,2,WHO,137
138,Romania,45902,2206,25794,17902,Europe,2,138,2020-07-26,2,WHO,138
139,Russia,816680,13334,602249,201097,Europe,2,139,2020-07-27,2,WHO,139
140,Rwanda,1879,5,975,899,Africa,3,140,2020-07-28,2,WHO,140
141,Saint Kitts and Nevis,17,0,15,2,Americas,1,141,2020-07-29,2,WHO,141
142,Saint Lucia,24,0,22,2,Americas,1,142,2020-07-30,2,WHO,142
143,Saint Vincent and the Grenadines,52,0,39,13,Americas,1,143,2020-07-31,2,WHO,143
144,San Marino,699,42,657,0,Europe,2,144,2020-08-01,2,WHO,144
145,Sao Tome and Principe,865,14,734,117,Africa,3,145,2020-08-02,2,WHO,145
146,Saudi Arabia,268934,2760,222936,43238,Eastern Mediterranean,5,146,2020-08-03,2,WHO,146
147,Senegal,9764,194,6477,3093,Africa,3,147,2020-08-04,2,WHO,147
148,Serbia,24141,543,0,23598,Europe,2,148,2020-08-05,2,WHO,148
149,Seychelles,114,0,39,75,Africa,3,149,2020-08-06,2,WHO,149
150,Sierra Leone,1783,66,1317,400,Africa,3,150,2020-08-07,2,WHO,150
151,Singapore,50838,27,45692,5119,Western Pacific,4,151,2020-08-08,2,WHO,151
152,Slovakia,2181,28,1616,537,Europe,2,152,2020-08-09,2,WHO,152
153,Slovenia,2087,116,1733,238,Europe,2,153,2020-08-10,2,WHO,153
